brand_id,cpg_id,barcode,category,categoryCode,name,topBrand,brandCode
588ba1c8e4b02187f85cdae1,559c2234e4b06aca36af13c6,511111801030,Beverages,,Tassimo,False,TASSIMO
5dc2d9d4a60b873d6b0666d2,5332f5f3e4b03c9a25efd0ae,511111206330,Breakfast & Cereal,,Dippin Dots® Cereal,True,DIPPIN DOTS
5887a290e4b02187f85cdad7,559c2234e4b06aca36af13c6,511111701132,,,Stove Top,False,STOVE TOP
5fb82f4bbe37ce522e165ce7,5fb6b608be37ce522e165cb9,511111417828,Bread & Bakery,BREAD_AND_BAKERY,Brownberry,False,BROWNBERRY
5f77274bbe37ce6b592e90ba,5f77274bbe37ce6b592e90b9,511111216704,Baking,BAKING,test brand @1601644363663,True,TEST BRANDCODE @1601644363664
5daf3eed1dda2c3e1416ae94,5332f5f3e4b03c9a25efd0ae,511111205944,Dairy,,Oui™ by Yoplait®,True,OUI BY YOPLAIT
5a5d144ee4b0db471c2d041d,5332f709e4b03c9a25efd0f1,511111500452,Beer Wine Spirits,,Cerveza Aguila,True,CERVEZA AGUILA
5f4a7a5dbe37ce2d95e65ca0,5f4a7a5bbe37ce2d95e65c9f,511111616252,Baking,BAKING,test brand @1598716507601,True,TEST BRANDCODE @1598716507602
5332f7a7e4b03c9a25efd133,5332f7a7e4b03c9a25efd134,511111903574,,,Budweiser,True,
5332f7b7e4b03c9a25efd144,5332f7a7e4b03c9a25efd134,511111103424,,,Budweiser Black Crown,True,
5f628215be37ce78e6e2efae,5f628214be37ce78e6e2efaa,511111916673,Baking,BAKING,test brand @1600291349297,True,TEST BRANDCODE @1600291349297
57e5823ce4b0ac389136a312,5332f709e4b03c9a25efd0f1,511111702221,Beer Wine Spirits,,Icehouse,False,ICEHOUSE
5a021582e4b00efe02b02a56,53e10d6368abd3c7065097cc,511111900610,Beauty & Personal Care,,FDS,True,FDS
5a8c2eeee4b0ccf165fac9e2,5a734034e4b0d58f376be874,511111204084,Grocery,,Bolthouse Farms,False,BOLTHOUSE FARMS
5a0218cae4b00efe02b02a59,5332f5f6e4b03c9a25efd0b4,511111100577,Personal Care,,Q-TIPS,False,Q-TIPS
58861c7f4e8d0d20bc42c4fa,5332f5fbe4b03c9a25efd0ba,511111701293,Breakfast & Cereal,,Quaker Granola,False,
588ba198e4b02187f85cdae0,559c2234e4b06aca36af13c6,511111001041,Dairy,,Hoffman's,False,HOFFMAN'S
5332fa80e4b03c9a25efd231,5332f5ebe4b03c9a25efd0a8,511111202882,,,Coca-Cola Cherry Zero,True,
5db9f97f1dda2c3e1416aea2,5332f5f3e4b03c9a25efd0ae,511111606215,Snacks,,Fruit by the Foot™,True,BETTY CROCKER FRUIT BY THE FOOT
5a5d28f1e4b0db471c2d0432,5332f709e4b03c9a25efd0f1,511111600121,Beer Wine Spirits,,Zumbida,True,ZUMBIDA
5f441280be37ce5dbe9b7c81,5f441280be37ce5dbe9b7c7d,511111515807,Baking,BAKING,test brand @1598296704794,True,TEST BRANDCODE @1598296704794
5332f79ee4b03c9a25efd131,5332f5f3e4b03c9a25efd0ae,511111103585,,,Cinnamon Toast Crunch,True,
58861c7f4e8d0d20bc42c4fc,5332f5fbe4b03c9a25efd0ba,511111001270,Snacks,,Quaker Popped Crisps,False,
5fd29590be37ce38bbbefb29,5fd29590be37ce38bbbefb25,511111918080,Baking,BAKING,test brand @1607636368759,False,TEST BRANDCODE @1607636368759
57c08257e4b0718ff5fcb034,5332f7a7e4b03c9a25efd134,511111102496,,,Hoegaarden,True,
58861c7f4e8d0d20bc42c4fe,5332f5fbe4b03c9a25efd0ba,511111301257,Breakfast & Cereal,,Quaker Real Medleys,False,
5332f757e4b03c9a25efd114,5332f5f2e4b03c9a25efd0aa,511111303732,,,gardenburger,True,
5afda5a6e4b03bf01c2a2968,5a734034e4b0d58f376be874,511111304548,Snacks,,Krunches!,False,KRUNCHERS
5fcda494be37ce688e08b0cd,5fcda494be37ce688e08b0cb,511111017943,Baking,BAKING,test brand @1607312532218,False,TEST BRANDCODE @1607312532218
585a9661e4b03e62d1ce0e7d,5332f5fbe4b03c9a25efd0ba,511111401711,Snacks,,Funyuns,True,FUNYUNS
5ab15456e4b0be0a89bb0b06,5a734034e4b0d58f376be874,511111904380,Canned Goods & Soups,,Campbell's Spaghettios,False,CAMPBELLS SPAGHETTIOS
592486bde410d61fcea3d123,53e10d6368abd3c7065097cc,511111600916,Dairy,,BRUMMEL AND BROWN,True,BRUMMEL AND BROWN
